"Date","AQS_SITE_ID","POC","Daily Max 8-hour Ozone Concentration","UNITS","DAILY_AQI_VALUE","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"03/01/2000","010030010","1","0.046","ppm","39","24","100.0000","44201","Ozone","19300","Daphne-Fairhope-Foley, AL","01","Alabama","003","Baldwin","30.4980010455544","-87.8814123234448"
"03/02/2000","010030010","1","0.062","ppm","58","24","100.0000","44201","Ozone","19300","Daphne-Fairhope-Foley, AL","01","Alabama","003","Baldwin","30.4980010455544","-87.8814123234448"
"03/03/2000","010030010","1","0.037","ppm","31","24","100.0000","44201","Ozone","19300","Daphne-Fairhope-Foley, AL","01","Alabama","003","Baldwin","30.4980010455544","-87.8814123234448"
"03/04/2000","010030010","1","0.038","ppm","32","24","100.0000","44201","Ozone","19300","Daphne-Fairhope-Foley, AL","01","Alabama","003","Baldwin","30.4980010455544","-87.8814123234448"
"03/05/2000","010030010","1","0.056","ppm","47","24","100.0000","44201","Ozone","19300","Daphne-Fairhope-Foley, AL","01","Alabama","003","Baldwin","30.4980010455544","-87.8814123234448"
"03/06/2000","010030010","1","0.065","ppm","67","24","100.0000","44201","Ozone","19300","Daphne-Fairhope-Foley, AL","01","Alabama","003","Baldwin","30.4980010455544","-87.8814123234448"
"03/07/2000","010030010","1","0.072","ppm","90","24","100.0000","44201","Ozone","19300","Daphne-Fairhope-Foley, AL","01","Alabama","003","Baldwin","30.4980010455544","-87.8814123234448"
"03/08/2000","010030010","1","0.056","ppm","47","24","100.0000","44201","Ozone","19300","Daphne-Fairhope-Foley, AL","01","Alabama","003","Baldwin","30.4980010455544","-87.8814123234448"
"03/09/2000","010030010","1","0.039","ppm","33","24","100.0000","44201","Ozone","19300","Daphne-Fairhope-Foley, AL","01","Alabama","003","Baldwin","30.4980010455544","-87.8814123234448"
"03/10/2000","010030010","1","0.033","ppm","28","24","100.0000","44201","Ozone","19300","Daphne-Fairhope-Foley, AL","01","Alabama","003","Baldwin","30.4980010455544","-87.8814123234448"
"03/11/2000","010030010","1","0.039","ppm","33","24","100.0000","44201","Ozone","19300","Daphne-Fairhope-Foley, AL","01","Alabama","003","Baldwin","30.4980010455544","-87.8814123234448"
"03/12/2000","010030010","1","0.044","ppm","37","24","100.0000","44201","Ozone","19300","Daphne-Fairhope-Foley, AL","01","Alabama","003","Baldwin","30.4980010455544","-87.8814123234448"
"03/13/2000","010030010","1","0.053","ppm","45","24","100.0000","44201","Ozone","19300","Daphne-Fairhope-Foley, AL","01","Alabama","003","Baldwin","30.4980010455544","-87.8814123234448"
"03/14/2000","010030010","1","0.056","ppm","47","24","100.0000","44201","Ozone","19300","Daphne-Fairhope-Foley, AL","01","Alabama","003","Baldwin","30.4980010455544","-87.8814123234448"
"03/15/2000","010030010","1","0.044","ppm","37","18","75.0000","44201","Ozone","19300","Daphne-Fairhope-Foley, AL","01","Alabama","003","Baldwin","30.4980010455544","-87.8814123234448"
"03/18/2000","010030010","1","0.048","ppm","41","24","100.0000","44201","Ozone","19300","Daphne-Fairhope-Foley, AL","01","Alabama","003","Baldwin","30.4980010455544","-87.8814123234448"
"03/19/2000","010030010","1","0.043","ppm","36","24","100.0000","44201","Ozone","19300","Daphne-Fairhope-Foley, AL","01","Alabama","003","Baldwin","30.4980010455544","-87.8814123234448"
"03/20/2000","010030010","1","0.046","ppm","39","24","100.0000","44201","Ozone","19300","Daphne-Fairhope-Foley, AL","01","Alabama","003","Baldwin","30.4980010455544","-87.8814123234448"
"03/21/2000","010030010","1","0.056","ppm","47","24","100.0000","44201","Ozone","19300","Daphne-Fairhope-Foley, AL","01","Alabama","003","Baldwin","30.4980010455544","-87.8814123234448"
"03/22/2000","010030010","1","0.061","ppm","54","24","100.0000","44201","Ozone","19300","Daphne-Fairhope-Foley, AL","01","Alabama","003","Baldwin","30.4980010455544","-87.8814123234448"
"03/23/2000","010030010","1","0.062","ppm","58","24","100.0000","44201","Ozone","19300","Daphne-Fairhope-Foley, AL","01","Alabama","003","Baldwin","30.4980010455544","-87.8814123234448"
"03/24/2000","010030010","1","0.05","ppm","42","24","100.0000","44201","Ozone","19300","Daphne-Fairhope-Foley, AL","01","Alabama","003","Baldwin","30.4980010455544","-87.8814123234448"
"03/25/2000","010030010","1","0.053","ppm","45","24","100.0000","44201","Ozone","19300","Daphne-Fairhope-Foley, AL","01","Alabama","003","Baldwin","30.4980010455544","-87.8814123234448"
"03/26/2000","010030010","1","0.036","ppm","31","24","100.0000","44201","Ozone","19300","Daphne-Fairhope-Foley, AL","01","Alabama","003","Baldwin","30.4980010455544","-87.8814123234448"
"03/27/2000","010030010","1","0.055","ppm","47","24","100.0000","44201","Ozone","19300","Daphne-Fairhope-Foley, AL","01","Alabama","003","Baldwin","30.4980010455544","-87.8814123234448"
"03/28/2000","010030010","1","0.06","ppm","51","24","100.0000","44201","Ozone","19300","Daphne-Fairhope-Foley, AL","01","Alabama","003","Baldwin","30.4980010455544","-87.8814123234448"
"03/29/2000","010030010","1","0.045","ppm","38","24","100.0000","44201","Ozone","19300","Daphne-Fairhope-Foley, AL","01","Alabama","003","Baldwin","30.4980010455544","-87.8814123234448"
"03/30/2000","010030010","1","0.047","ppm","40","24","100.0000","44201","Ozone","19300","Daphne-Fairhope-Foley, AL","01","Alabama","003","Baldwin","30.4980010455544","-87.8814123234448"
"03/31/2000","010030010","1","0.054","ppm","46","24","100.0000","44201","Ozone","19300","Daphne-Fairhope-Foley, AL","01","Alabama","003","Baldwin","30.4980010455544","-87.8814123234448"
"04/01/2000","010030010","1","0.048","ppm","41","24","100.0000","44201","Ozone","19300","Daphne-Fairhope-Foley, AL","01","Alabama","003","Baldwin","30.4980010455544","-87.8814123234448"
"04/02/2000","010030010","1","0.034","ppm","29","24","100.0000","44201","Ozone","19300","Daphne-Fairhope-Foley, AL","01","Alabama","003","Baldwin","30.4980010455544","-87.8814123234448"
"04/03/2000","010030010","1","0.034","ppm","29","24","100.0000","44201","Ozone","19300","Daphne-Fairhope-Foley, AL","01","Alabama","003","Baldwin","30.4980010455544","-87.8814123234448"
"04/04/2000","010030010","1","0.047","ppm","40","24","100.0000","44201","Ozone","19300","Daphne-Fairhope-Foley, AL","01","Alabama","003","Baldwin","30.4980010455544","-87.8814123234448"
"04/05/2000","010030010","1","0.056","ppm","47","24","100.0000","44201","Ozone","19300","Daphne-Fairhope-Foley, AL","01","Alabama","003","Baldwin","30.4980010455544","-87.8814123234448"
"04/06/2000","010030010","1","0.055","ppm","47","24","100.0000","44201","Ozone","19300","Daphne-Fairhope-Foley, AL","01","Alabama","003","Baldwin","30.4980010455544","-87.8814123234448"
"04/07/2000","010030010","1","0.05","ppm","42","24","100.0000","44201","Ozone","19300","Daphne-Fairhope-Foley, AL","01","Alabama","003","Baldwin","30.4980010455544","-87.8814123234448"
"04/08/2000","010030010","1","0.047","ppm","40","24","100.0000","44201","Ozone","19300","Daphne-Fairhope-Foley, AL","01","Alabama","003","Baldwin","30.4980010455544","-87.8814123234448"
"04/09/2000","010030010","1","0.055","ppm","47","24","100.0000","44201","Ozone","19300","Daphne-Fairhope-Foley, AL","01","Alabama","003","Baldwin","30.4980010455544","-87.8814123234448"
